Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,Diverted
2000,10,18,3,1644.0,1644,1922.0,1915,CO,1811,N12811,158.0,151.0,123.0,7.0,0.0,ORD,IAH,925,21,14,0,0
2000,11,23,4,1418.0,1414,1455.0,1459,AA,1935,N568AA,97.0,105.0,84.0,-4.0,4.0,DFW,ELP,551,5,8,0,0
2000,4,22,6,1514.0,1515,1553.0,1605,NW,1725,N613NW,99.0,110.0,74.0,-12.0,-1.0,DTW,STL,440,10,15,0,0
2000,8,23,3,1652.0,1655,1849.0,1857,NW,573,N330NW,237.0,242.0,208.0,-8.0,-3.0,MSP,SJC,1576,5,24,0,0
2000,10,2,1,2038.0,2040,2145.0,2145,UA,2140,N397UA,67.0,65.0,51.0,0.0,-2.0,BUR,SFO,326,4,12,0,0
2000,5,19,5,1239.0,1238,1429.0,1433,AA,542,N2DHAA,110.0,115.0,81.0,-4.0,1.0,DFW,DSM,624,6,23,0,0
2000,7,31,1,1728.0,1530,2130.0,1648,UA,1071,N951UA,302.0,138.0,122.0,282.0,118.0,HPN,ORD,738,14,166,0,0
2000,9,7,4,2101.0,2035,7.0,2335,UA,89,N417UA,366.0,360.0,316.0,32.0,26.0,EWR,LAX,2454,22,28,0,0
2000,8,1,2,1836.0,1739,2048.0,1900,US,417,N812US,132.0,81.0,59.0,108.0,57.0,RDU,PHL,336,8,65,0,0
2000,5,16,2,1330.0,1334,1500.0,1449,HP,2835,N302AW,90.0,75.0,65.0,11.0,-4.0,PHX,LGB,355,1,24,0,0
2000,1,3,1,1918.0,1920,2341.0,2356,DL,1530,N906DL,203.0,216.0,173.0,-15.0,-2.0,DFW,BOS,1562,15,15,0,0
2000,12,11,1,700.0,700,945.0,934,AS,633,N974AS,165.0,154.0,128.0,11.0,0.0,LAS,SEA,866,17,20,0,0
2000,7,29,6,735.0,735,838.0,840,WN,1609,N64,63.0,65.0,49.0,-2.0,0.0,PHX,ONT,325,3,11,0,0
2000,4,10,1,2246.0,2249,2355.0,2349,HP,589,N805AW,69.0,60.0,44.0,6.0,-3.0,PHX,LAS,256,14,11,0,0
2000,12,31,7,1214.0,1140,1312.0,1245,WN,711,N733,58.0,65.0,47.0,27.0,34.0,LAS,SAN,258,1,10,0,0
2000,7,28,5,1020.0,1020,1332.0,1330,WN,962,N725,132.0,130.0,116.0,2.0,0.0,OAK,ABQ,889,4,12,0,0
2000,8,22,2,1530.0,1530,1633.0,1628,CO,1581,N69803,123.0,118.0,92.0,5.0,0.0,ATL,IAH,689,4,27,0,0
2000,10,4,3,1024.0,1030,1226.0,1239,US,2634,N232US,122.0,129.0,104.0,-13.0,-6.0,MCO,BWI,787,3,15,0,0
2000,3,19,7,940.0,940,1040.0,1030,WN,154,N639,60.0,50.0,48.0,10.0,0.0,SAT,DAL,248,2,10,0,0
2000,12,16,6,839.0,839,949.0,903,HP,652,N648AW,130.0,84.0,80.0,46.0,0.0,PHX,SNA,338,32,18,0,0
2000,10,15,7,1105.0,1105,1241.0,1244,DL,2141,N407DA,96.0,99.0,73.0,-3.0,0.0,SLC,FCA,532,4,19,0,0
2000,4,2,7,731.0,720,1017.0,1026,US,2247,N441US,106.0,126.0,90.0,-9.0,11.0,MSP,PIT,726,5,11,0,0
2000,8,5,6,619.0,625,802.0,802,NW,1799,N333NW,103.0,97.0,73.0,0.0,-6.0,ORD,MEM,491,11,19,0,0
2000,11,22,3,808.0,815,1022.0,1010,NW,1829,N986US,194.0,175.0,178.0,12.0,-7.0,RDU,MSP,981,5,11,0,0
2000,4,22,6,1350.0,1350,1512.0,1517,DL,2228,N8882Z,82.0,87.0,60.0,-5.0,0.0,TPA,ATL,406,7,15,0,0
2000,3,22,3,1142.0,1143,1234.0,1242,HP,2765,N323AW,112.0,119.0,93.0,-8.0,-1.0,PHX,SMF,647,5,14,0,0
